title,format,file size,publisher,year of publication,author,duration
Mastering Java Basics,Video,1.5 GB,Udemy,2023,John Carter,2h 45m
Sounds of the Rainforest,Audio,320 MB,NatureSound Ltd,2021,EcoMedia Team,58m
History of Space Exploration,Video,2.1 GB,NASA Media,2022,Dr. Emily Frost,1h 50m
The Startup Mindset,Audio,240 MB,Audible Originals,2023,Alex Grant,1h 20m
Introduction to Machine Learning,Video,3.2 GB,Coursera,2024,Dr. Ravi Kapoor,3h 10m
Relaxing Piano Sessions,Audio,410 MB,Harmony Records,2019,Kevin Zhou,1h 5m
The Art of Storytelling,Video,2.7 GB,SkillShare,2020,Lisa Romero,2h 30m
Financial Markets Explained,Video,1.8 GB,Khan Academy,2023,Paul Jenkins,1h 45m
Inspirational Talks: Volume 1,Audio,500 MB,TEDx,2024,Multiple Speakers,2h 10m
Digital Marketing Masterclass,Video,4.0 GB,LinkedIn Learning,2024,Sarah Coleman,4h 15m
