title,category,issue number,publisher,year of publication,author(s)
Global Tech Review,Magazine,45,Wired Publications,2024,"Alan Chu, Marie Holt"
The Daily Insight,Newspaper,1589,Global Times,2025,Staff Writers
Innovations in Computing,Article,12,ACM Press,2023,"Dr. K. Patel, J. Morrison"
Modern Science Digest,Magazine,88,Nature Media Group,2024,Dr. L. Torres
Economic Trends Weekly,Newspaper,2205,The Financial Herald,2025,Sarah Milton
Journal of AI Ethics,Article,9,SpringerOpen,2023,Dr. A. Raymond
World Literature Review,Magazine,57,Oxford Journals,2022,C. Mendes
Global Health Report,Article,14,Elsevier,2024,"Dr. Susan Okafor, T. Hughes"
The Chronicle Observer,Newspaper,1740,Chronicle Media,2025,News Desk
Academic Computing Monthly,Magazine,103,IEEE Publications,2023,"M. Ahmed, D. Silva"
